Messung	g2	f1 Hz	f2 Hz	df kHz	R Ohm	V mV	uV	comment
1	5000	300	330	105	1	8,3	0,3	hintergrund 1
2	5000	100	1000	1000	1	59	1,5	hintergrund 2
3	5000	30	3300	3632	1	205	1,5	hintergrund 3
4	5000	30	10000	11075	1	602	3	hintergrund 4
5	500	10	100000	111061	1	63,2	0,1	hintergrund 5
6	5000	300	330	105	100	8,5	0,2	widerstand 1.1
10	5000	100	1000	1000	100	60	1	widerstand 1.2
14	5000	30	3300	3632	100	211	1	widerstand 1.3
18	1000	30	10000	11075	100	26,6	0,1	widerstand 1.4
22	1000	10	100000	111061	100	255	0,3	widerstand 1.5
7	5000	300	330	105	1000	10	0,1	widerstand 2.1
11	5000	100	1000	1000	1000	72	1	widerstand 2.2
15	5000	30	3300	3632	1000	257	3	widerstand 2.3
19	1000	30	10000	11075	1000	32,2	0,1	widerstand 2.4
23	1000	10	100000	111061	1000	315	0,5	widerstand 2.5
8	5000	300	330	105	10000	24,5	0,5	widerstand 3.1
12	5000	100	1000	1000	10000	207	3	widerstand 3.2
16	5000	30	3300	3632	10000	745	5	widerstand 3.3
20	1000	30	10000	11075	10000	90,7	0,3	widerstand 3.4
24	1000	10	100000	111061	10000	923	1	widerstand 3.5
9	5000	300	330	105	100000	169	2	widerstand 4.1
13	4000	100	1000	1000	100000	978	4	widerstand 4.2
17	500	30	3300	3632	100000	57	0,5	widerstand 4.3
21	1000	30	10000	11075	100000	670	3	widerstand 4.4
25	100	10	100000	111061	100000	55,2	0,1	widerstand 4.5
