Messung	g2	f1 Hz	f2 Hz	df Hz	R kOhm	Vdc V	uVdc	Vn mV	uVn	comment
21	2000	1000	10000	9997	10	0,00029	0,0005	11,35	0,05	hintergrund 1
1	2000	1000	10000	9997	10	-0,4242	0,0002	68,5	0,2	
2	2000	1000	10000	9997	10	-0,8522	0,0002	126	0,5	
3	2000	1000	10000	9997	10	-1,31	0,0002	187	2	
4	2000	1000	10000	9997	10	-1,834	0,0002	265	5	
5	2000	1000	10000	9997	10	-2,23	0,0005	315	4	
6	2000	1000	10000	9997	10	-2,67	0,0005	371	2	
7	2000	1000	10000	9997	10	-3,12	0,0005	437	4	
8	2000	1000	10000	9997	10	-3,56	0,0005	498	4	
9	2000	1000	10000	9997	10	-4,01	0,0005	555	8	
10	2000	1000	10000	9997	10	-4,78	0,0005	680	10	
22	2000	3000	10000	7839	10	0,00029	0,0005	9,26	0,2	hintergrund 2
11	2000	3000	10000	7839	10	-0,45	0,0005	56,4	0,2	
12	2000	3000	10000	7839	10	-0,9	0,0005	103,7	3	
13	2000	3000	10000	7839	10	-1,18	0,0005	132,5	1	
14	2000	3000	10000	7839	10	-1,51	0,0005	169,5	1	
15	2000	3000	10000	7839	10	-1,9	0,0005	210	2	
16	2000	3000	10000	7839	10	-2,3	0,0005	253	2	
17	2000	3000	10000	7839	10	-2,73	0,0005	297	3	
18	2000	3000	10000	7839	10	-3,11	0,005	339	3	
19	2000	3000	10000	7839	10	-3,71	0,005	404	3	
20	2000	3000	10000	7839	10	-4,09	0,005	446	4	
