Wavelength (nm)	Spectral irradiance (W m-2 nm-1)	Cumulative photon flux (cm-2 s-1)
280	4,72E-23	1,66224441231309E-09
280,5	1,23E-21	8,84508727286265E-08
281	5,67E-21	4,89238426422039E-07
281,5	1,56E-19	1,15358184994119E-05
282	1,19E-18	9,5951069692515E-05
282,5	4,53E-18	0,000417866283153072
283	1,84E-17	0,00172773902888502
283,5	3,53E-17	0,00424514127895218
284	7,25E-16	0,05603934898102
284,5	2,48E-15	0,233523181842948
285	7,99E-15	0,806340957796148
285,5	4,25E-14	3,85858946534819
286	1,36E-13	13,6428901102226
286,5	8,36E-13	73,8927097486542
287	2,73E-12	270,984888848446
287,5	1,09E-11	1059,2806556593
288	6,22E-11	5565,45219083056
288,5	1,71E-10	17975,3091392034
289	5,61E-10	58758,9084618287
289,5	0,00000000207	209504,201704081
290	0,000000006	647201,73158071
290,5	0,0000000137	1648334,21105169
291	0,000000035	4210374,06265713
291,5	0,000000109	12203007,6635394
292	0,000000268	31888328,2945885
292,5	0,000000426	63232753,9901503
293	0,000000862	126765808,203266
293,5	0,00000226	293621640,698937
294	0,00000416	601277725,147392
294,5	0,00000657	1087993605,11564
295	0,0000123	2000743885,09113
295,5	0,0000277	4059771170,24956
296	0,0000478	7618906118,93833
296,5	0,0000711	12921875821,2134
297	0,0000965	20131433324,1038
297,5	0,000186	34050969425,0942
298	0,000289	55714984751,5511
298,5	0,000357	82521317178,2971
299	0,000491	119451165835,572
299,5	0,000858	184092299140,128
300	0,001	259557390498,168
300,5	0,0012	350266430310,531
301	0,0019	494128049469,407
301,5	0,0027	698902574869,448
302	0,0029	919210331574,018
302,5	0,0043	1246414390187,25
303	0,0071	1787574560315,75
303,5	0,009	2474684217130,7
304	0,0094	3193514367346,48
304,5	0,0119	4105019473314,57
305	0,0164	5363274096557,61
305,5	0,0187	6800343253773,53
306	0,0185	8224369527699,74
306,5	0,021	9843473062786,48
307	0,0278	11990354291800,9
307,5	0,0355	14736340303591,6
308	0,0377	17657241819634,9
308,5	0,0413	20862256827126,1
309	0,0404	24002510208716,8
309,5	0,0432	27365838400362
310	0,0508	31327252596050
310,5	0,0653	36427598528028,8
311	0,0827	42897396895366,7
311,5	0,0838	49463790579642,9
312	0,0931	56770622585293,7
312,5	0,0987	64529377290542,1
313	0,107	72954048539449,2
313,5	0,107	81392177729648,4
314	0,119	90791606408596,7
314,5	0,13	101076240609175
315	0,136	111852655655103
315,5	0,118	121217621942331
316	0,123	130994879178679
316,5	0,15	142937229886089
317	0,171	156573017243573
317,5	0,182	171108851590654
318	0,175	185107626037570
318,5	0,185	199929598856050
319	0,204	216299486473436
319,5	0,195	231971699321217
320	0,205	248473399298175
320,5	0,245	268225758085381
321	0,25	288412670023656
321,5	0,238	307660544675133
322	0,221	325561367445870
322,5	0,217	343165486632416
323	0,212	360390645285193
323,5	0,248	380572023116769
324	0,275	402985155250107
324,5	0,282	426004272067050
325	0,278	448731842081046
325,5	0,323	475178960672928
326	0,38	506341012397708
326,5	0,406	539686269215476
327	0,397	572342278198840
327,5	0,384	603977244496130
328	0,35	632855219455807
328,5	0,371	663512535494554
329	0,421	698354516624256
329,5	0,467	737062197058774
330	0,47	776077649290880
330,5	0,427	811577308691768
331	0,402	845049095312713
331,5	0,417	879822277434127
332	0,435	916151172413887
332,5	0,438	952785701013648
333	0,428	988637656616025
333,5	0,406	1022697819399260
334	0,414	1057481189308010
334,5	0,444	1094840937435720
335	0,463	1133857647419350
335,5	0,452	1172004244899620
336	0,414	1206995898460510
336,5	0,381	1239246282577830
337	0,373	1270866407407150
337,5	0,399	1304740800290490
338	0,433	1341556193559210
338,5	0,454	1380214192808580
339	0,462	1419611498402960
339,5	0,473	1460006326729940
340	0,5	1502769878499490
340,5	0,499	1545510664966490
341	0,47	1585826632273000
341,5	0,468	1626029905043080
342	0,488	1668012644667390
342,5	0,506	1711607570193400
343	0,513	1755870110227630
343,5	0,485	1797777762086040
344	0,417	1833862150169800
344,5	0,402	1868699100293410
345	0,458	1908446563911690
345,5	0,488	1950858951456120
346	0,476	1992288280410470
346,5	0,485	2034561937961960
347	0,493	2077594900107660
347,5	0,475	2119116422248620
348	0,474	2160610148080920
348,5	0,482	2202864813584420
349	0,464	2243599863698270
349,5	0,477	2285536192291390
350	0,526	2331846603354780
350,5	0,566	2381749907417720
351	0,55	2430311693706610
351,5	0,529	2477085837756390
352	0,516	2522775422668200
352,5	0,488	2566047106052900
353	0,519	2612132882694350
353,5	0,571	2662907934337620
354	0,603	2716604365442520
354,5	0,61	2771000861044920
355	0,61	2825474079490200
355,5	0,589	2878146071979910
356	0,552	2927578725423080
356,5	0,518	2974031765509130
357	0,455	3014892339224940
357,5	0,461	3056349716038240
358	0,429	3094983314908080
358,5	0,398	3130875267008880
359	0,468	3173138736773030
359,5	0,564	3224142573418280
360	0,596	3278115206757550
360,5	0,564	3329260917774550
361	0,519	3376391131280380
361,5	0,508	3422586332304290
362	0,533	3471121957361520
362,5	0,583	3524283969844450
363	0,6	3579071626170390
363,5	0,584	3632471731016560
364	0,605	3687868139079450
364,5	0,599	3742790500593460
365	0,622	3799899966230180
365,5	0,684	3862788045462490
366	0,733	3930273458060330
366,5	0,734	3997943257031380
367	0,721	4064505228461310
367,5	0,707	4129863657459220
368	0,666	4191515618495090
368,5	0,661	4252787864346270
369	0,691	4316927909444200
369,5	0,743	4385988152723540
370	0,753	4456072583067750
370,5	0,681	4519541366178060
371	0,691	4584029053796850
371,5	0,718	4651126827375420
372	0,673	4714103955415530
372,5	0,641	4774167250503150
373	0,617	4832059289137250
373,5	0,556	4884297734677120
374	0,555	4936512031387740
374,5	0,551	4988419310951700
375	0,588	5043886153099860
375,5	0,65	5105283293677230
376	0,673	5168937595137130
376,5	0,662	5231634747688300
377	0,71	5298967217700990
377,5	0,792	5374175727748410
378	0,854	5455379184653320
378,5	0,832	5534595394152460
379	0,742	5605335867690880
379,5	0,665	5668818989168550
380	0,699	5735635781056950
380,5	0,749	5807326234320420
381	0,762	5880356821831250
381,5	0,686	5946189800478650
382	0,585	6002403747031250
382,5	0,506	6051090050720890
383	0,454	6094830120772620
383,5	0,439	6137180249616690
384	0,508	6186250670621340
384,5	0,612	6245443978980760
385	0,672	6310525073767930
385,5	0,642	6372781510185570
386	0,619	6432885430647380
386,5	0,644	6495497810745930
387	0,65	6558775289849640
387,5	0,64	6621159765372290
388	0,634	6683039127883440
388,5	0,63	6744607322667900
389	0,683	6811440968426710
389,5	0,758	6885708931885510
390	0,795	6963702103804040
390,5	0,801	7042384649332130
391	0,849	7125889036872550
391,5	0,861	7210681990847900
392	0,793	7288877912311880
392,5	0,661	7354140752194070
393	0,478	7401395483100650
393,5	0,38	7439009800136540
394	0,494	7487970545208420
394,5	0,682	7555649903091050
395	0,805	7635636611172960
395,5	0,858	7720997439960780
396	0,754	7796106336087610
396,5	0,549	7850863429051550
397	0,425	7893306254182830
397,5	0,628	7956100756701860
398	0,85	8041200224723270
398,5	1	8141443021077200
399	1,07	8248837392588830
399,5	1,1	8359381173913130
400	1,11	8526913676727980
401	1,16	8760935956035350
402	1,2	9003631689842800
403	1,16	9,23882116256318E+015
404	1,18	9,47865928491121E+015
405	1,15	9,71297839357792E+015
406	1,12	9,94174830252677E+015
407	1,1	1,01669864452001E+016
408	1,15	1,0403041250968E+016
409	1,23	1,06561360743646E+016
410	1,05	1,08727208865622E+016
411	1,17	1,11146468764378E+016
412	1,24	1,13716709155911E+016
413	1,19	1,16189297719227E+016
414	1,18	1,18647044814575E+016
415	1,22	1,21194243198214E+016
416	1,26	1,23831295350629E+016
417	1,23	1,26411748684526E+016
418	1,17	1,28872212523163E+016
419	1,22	1,31443962216523E+016
420	1,12	1,33810547481512E+016
421	1,27	1,36500475507938E+016
422	1,25	1,39154331220696E+016
423	1,21	1,41729351068015E+016
424	1,21	1,44310458432704E+016
425	1,25	1,46983180418301E+016
426	1,21	1,49576462817729E+016
427	1,17	1,520899031505E+016
428	1,18	1,54630762466464E+016
429	1,09	1,56983311224459E+016
430	0,872	1,58869737268167E+016
431	0,792	1,60587081259183E+016
432	1,32	1,63455962172251E+016
433	1,23	1,66135425706009E+016
434	1,13	1,6860273171293E+016
435	1,24	1,71316456398165E+016
436	1,36	1,74299641769609E+016
437	1,39	1,77355625799183E+016
438	1,22	1,80043994213722E+016
439	1,17	1,82628069872004E+016
440	1,35	1,85616487489783E+016
441	1,33	1,88567323492065E+016
442	1,42	1,91724984154729E+016
443	1,44	1,94934363560003E+016
444	1,4	1,9806163694588E+016
445	1,46	2,01330281602902E+016
446	1,31	2,04269697221358E+016
447	1,49	2,07620498207838E+016
448	1,5	2,11001334300678E+016
449	1,5	2,14389716902654E+016
450	1,56	2,1792148317821E+016
451	1,61	2,21574547010609E+016
452	1,54	2,2507652973011E+016
453	1,43	2,28335565165498E+016
454	1,53	2,31830202616106E+016
455	1,52	2,35309646428321E+016
456	1,57	2,38911444308657E+016
457	1,58	2,4254413256639E+016
458	1,55	2,46115643790061E+016
459	1,53	2,49648768437262E+016
460	1,52	2,53166447895765E+016
