Wavelength (nm)	Spectral irradiance (W m-2 nm-1)	Cumulative photon flux (cm-2 s-1)
350	0	0
351	0	0
352	0,0002	35418282877,3733
353	0,0002	70937185876,5572
354	0,0002	106556708997,552
355	0,0002	142276852240,357
356	0,0002	178097615604,973
357	0,0002	214018999091,4
358	0,0002	250041002699,638
359	0,0003	304224938294,71
360	0,0003	358559804072,499
361	0,0003	413045600033,003
362	0,0003	467682326176,224
363	0,0004	540732534610,806
364	0,0004	613983983289,01
365	0,0004	687436672210,835
366	0,0004	761090601376,282
367	0,0005	853409563137,617
368	0,0005	945980075203,479
369	0,0006	1057366550047,95
370	0,0006	1169054885257,84
371	0,0007	1299710113429,06
372	0,0007	1430717512026,62
373	0,0008	1580842733768,21
374	0,0008	1731370435997,05
375	0,0009	1901166891552,64
376	0,0009	2071416137656,38
377	0,001	2261085067269,58
378	0,0011	2470274300514,07
379	0,0012	2699084457511,64
380	0,0013	2947616158384,12
381	0,0014	3215970023253,31
382	0,0015	3504246672241,02
383	0,0016	3812546725469,07
384	0,0017	4140970803059,25
385	0,0018	4489619525133,4
386	0,0019	4858593511813,31
387	0,0021	5267463376791,16
388	0,0022	5696910056679,31
389	0,0024	6166604785291,75
390	0,0026	6676748802872,1
391	0,0028	7227543349663,98
392	0,003	7819189665911,01
393	0,0032	8451888991856,81
394	0,0035	9145664731741,72
395	0,0037	9880946271873,55
396	0,004	10677857636614,5
397	0,0043	11536700686329,8
398	0,0047	12477800685625,5
399	0,0051	13501560114988,7
400	0,0055	14608381454906,6
401	0,006	15818841520289,5
402	0,0066	17153668056230,5
403	0,0072	18613464783460,5
404	0,008	20239485951921,7
405	0,009	22073287671922,1
406	0,0101	24136302029407,2
407	0,0115	26491064430082,6
408	0,0132	29200563070201,6
409	0,0153	32348815751476,3
410	0,018	36061698246291,9
411	0,0213	40465991908129,8
412	0,0256	45772294651939,9
413	0,0309	52192713694499,2
414	0,0377	60045007380485,9
415	0,0461	69670076682594,8
416	0,0567	81536811368463,8
417	0,0698	96180359555943,3
418	0,086	114265820250202
419	0,1059	136589450785189
420	0,1301	164079874265096
421	0,1593	197820467541458
422	0,1941	239029539049160
423	0,2353	289104098559422
424	0,2835	349578804170100
425	0,3395	422169933298921
426	0,4037	508691264261645
427	0,4766	611076363629046
428	0,5585	731336527016000
429	0,6495	871518216769953
430	0,7494	1033638363232600
431	0,858	1219683962259400
432	0,9746	1431503003007540
433	1,0984	1670781274997810
434	1,2284	1938997089059880
435	1,3634	2237375495176770
436	1,502	2566841997228920
437	1,6428	2928019735630690
438	1,7844	3321226669967010
439	1,9254	3746472761629930
440	2,0646	4203501429308830
441	2,2009	4691809320844360
442	2,3337	5210755284820350
443	2,4624	5759559163122320
444	2,587	6337434609498340
445	2,7077	6943633865513160
446	2,8252	7577560354464570
447	2,9406	8238860044453970
448	3,0151	8918430638022130
449	3,1364	9,62691885087796E+015
450	3,248	1,03622507010707E+016
451	3,3472	1,11217249408102E+016
452	3,4315	1,19020531032755E+016
453	3,498	1,26992633097782E+016
454	3,5442	1,35087857968661E+016
455	3,568	1,43255394496281E+016
456	3,5674	1,51439505170365E+016
457	3,5414	1,59581785041209E+016
458	3,4898	1,67622984956286E+016
459	3,4128	1,75503931228159E+016
460	3,3119	1,83168538200932E+016
461	3,1893	1,90565461941948E+016
462	3,0478	1,97649539109532E+016
463	2,8842	2,0436786716534E+016
464	2,6929	2,10654137449099E+016
465	2,5168	2,16541984248926E+016
466	2,3556	2,22064567932166E+016
467	2,2085	2,27253394168259E+016
468	2,0746	2,32138062378438E+016
469	1,9532	2,36746719532479E+016
470	1,843	2,41104627318162E+016
471	1,7431	2,45235083821592E+016
472	1,6525	2,49159167952089E+016
473	1,57	2,52895243384982E+016
474	1,495	2,56460365230918E+016
475	1,4265	2,59869312070289E+016
476	1,364	2,63135763208655E+016
477	1,3069	2,66272048635742E+016
478	1,2548	2,69289617915211E+016
479	1,2075	2,72199514105432E+016
480	1,1646	2,7501188675809E+016
481	1,1261	2,77736951834154E+016
482	1,0917	2,8038426422039E+016
483	1,0615	2,82963683682535E+016
484	1,0351	2,85484159374223E+016
485	1,0126	2,87954941806352E+016
486	0,9938	2,90384851338801E+016
487	0,9786	2,92782519165618E+016
488	0,9667	2,95155894276426E+016
489	0,958	2,9751272945161E+016
490	0,9523	2,99860332730619E+016
491	0,9493	3,02205316364756E+016
492	0,9489	3,04554085830976E+016
493	0,9509	3,06912589790881E+016
494	0,955	3,09286067534213E+016
495	0,9611	3,11679541011252E+016
496	0,9689	3,14097313744608E+016
497	0,9783	3,16543464874019E+016
498	0,9891	3,19021596599845E+016
499	1,0011	3,21534830158265E+016
500	1,0142	3,24086053346776E+016
501	1,0283	3,26677918511788E+016
502	1,0432	3,29312587979719E+016
503	1,0588	3,31991983091795E+016
504	1,0749	3,3471752862894E+016
505	1,0915	3,37490656918589E+016
506	1,1085	3,40312553265777E+016
507	1,1258	3,43184153940737E+016
508	1,1432	3,46105888591389E+016
509	1,1607	3,49078188374955E+016
510	1,1782	3,52101229376648E+016
511	1,1957	3,55175187681682E+016
512	1,213	3,58299724200246E+016
513	1,2302	3,61474754914538E+016
514	1,2471	3,64699677110029E+016
515	1,2637	3,67973883544283E+016
516	1,28	3,71296762446961E+016
517	1,2958	3,74667177313785E+016
518	1,3113	3,78084505306202E+016
519	1,3263	3,81547596839321E+016
520	1,3409	3,85055556394057E+016
521	1,3549	3,88606958183284E+016
522	1,3684	3,92200629982583E+016
523	1,3814	3,95835392021026E+016
524	1,3939	3,99510056981175E+016
525	1,4058	4,03223165871265E+016
526	1,4172	4,06973515274638E+016
527	1,428	4,10759629094107E+016
528	1,4382	4,14580022176675E+016
529	1,4479	4,18433466453755E+016
530	1,4571	4,2231872631025E+016
531	1,4658	4,26234558584557E+016
532	1,474	4,3017971256856E+016
533	1,4817	4,34152930007637E+016
534	1,4889	4,38152945100656E+016
535	1,4956	4,42178484499974E+016
536	1,5019	4,46228536973367E+016
537	1,5079	4,50302355416432E+016
538	1,5134	4,54398646860602E+016
539	1,5186	4,5851665313326E+016
540	1,5234	4,62655339859555E+016
541	1,5279	4,66813938804855E+016
542	1,5322	4,70991949887155E+016
543	1,5362	4,75188596822216E+016
544	1,5399	4,79403098797892E+016
545	1,5435	4,83635218853796E+016
546	1,5469	4,87884443827308E+016
547	1,5501	4,92150257537202E+016
548	1,5532	4,96432416482784E+016
549	1,5562	5,00730675654056E+016
550	1,5591	5,05044788531721E+016
551	1,562	5,09374784295614E+016
552	1,5649	5,1372069212557E+016
553	1,5677	5,18082262986788E+016
554	1,5705	5,22459525052901E+016
555	1,5733	5,26852506497545E+016
556	1,5762	5,31261515218291E+016
557	1,5792	5,35686860622014E+016
558	1,5822	5,40128572894751E+016
559	1,5853	5,44586963455778E+016
560	1,5885	5,49062345233675E+016
561	1,5917	5,53554750426881E+016
562	1,5951	5,58064776718919E+016
563	1,5986	5,62592741566273E+016
564	1,6022	5,6713896393473E+016
565	1,606	5,71704048551221E+016
566	1,6099	5,76288318406339E+016
567	1,6139	5,80892097999974E+016
568	1,618	5,85515713341323E+016
569	1,6223	5,90159778213128E+016
570	1,6267	5,94824622649388E+016
571	1,6312	5,99510578193406E+016
572	1,6358	6,04217977897784E+016
573	1,6405	6,08947156324428E+016
574	1,6454	6,13698738324293E+016
575	1,6503	6,1847277320124E+016
576	1,6553	6,23269600045078E+016
577	1,6604	6,28089559454921E+016
578	1,6656	6,32932993539182E+016
579	1,6708	6,37799954620325E+016
580	1,6761	6,42690786819167E+016
581	1,6814	6,47605543464371E+016
582	1,6867	6,52544277884603E+016
583	1,6921	6,57507336716182E+016
584	1,6974	6,62494480483218E+016
585	1,7028	6,67506056828233E+016
586	1,7081	6,72541825269134E+016
587	1,7134	6,77601839134587E+016
588	1,7186	6,82685855930098E+016
589	1,7238	6,8779392797813E+016
590	1,7289	6,92925810771787E+016
591	1,7339	6,98081258294872E+016
592	1,7388	7,03260023021884E+016
593	1,7436	7,08461855918023E+016
594	1,7482	7,13686207597423E+016
595	1,7527	7,18932825000478E+016
596	1,757	7,24201153710317E+016
597	1,7612	7,29490936642528E+016
598	1,7652	7,34801614349235E+016
599	1,769	7,40132624363956E+016
600	1,7726	7,45483401201606E+016
601	1,7759	7,50853073995032E+016
602	1,779	7,5624107021574E+016
603	1,7819	7,61646814316634E+016
604	1,7845	7,67069423859245E+016
605	1,7869	7,72508316253068E+016
606	1,7889	7,77962296131056E+016
607	1,7907	7,83430772853094E+016
608	1,7922	7,88912846875293E+016
609	1,7933	7,94407307737587E+016
610	1,7942	7,99913552725447E+016
611	1,7947	8,05430361316796E+016
612	1,7948	8,10956506952348E+016
613	1,7946	8,16491065436284E+016
614	1,7941	8,22033108044881E+016
615	1,7931	8,27581082712759E+016
616	1,7918	8,33134049647981E+016
617	1,7901	8,38690754117627E+016
618	1,7881	8,44250246267748E+016
619	1,7856	8,49810948877935E+016
620	1,7827	8,55371589103646E+016
621	1,7794	8,60930888063133E+016
622	1,7757	8,66487560837441E+016
623	1,7716	8,72040316470407E+016
624	1,7671	8,77587857968661E+016
625	1,7621	8,83128567863744E+016
626	1,7567	8,88661136081671E+016
627	1,7509	8,94184246511249E+016
628	1,7446	8,99696261056893E+016
629	1,7379	9,05195850526796E+016
630	1,7308	9,10681679691941E+016
631	1,7232	9,1615208982962E+016
632	1,7151	9,21605414670615E+016
633	1,7067	9,27040617324571E+016
634	1,6978	9,32456018441656E+016
635	1,6884	9,37849931125527E+016
636	1,6787	9,43221300877307E+016
637	1,6684	9,48568107244951E+016
638	1,6578	9,53889283655167E+016
639	1,6467	9,5918311604418E+016
640	1,6352	9,64448204786097E+016
641	1,6233	9,69683144217814E+016
642	1,611	9,74886522639024E+016
643	1,5983	9,8005692231221E+016
644	1,5852	9,85192919462648E+016
645	1,5717	9,90293084278408E+016
646	1,5578	9,9535598091035E+016
647	1,5435	1,00038016747213E+017
648	1,5288	1,0053641960402E+017
649	1,5138	1,01030693916608E+017
650	1,4985	1,01520726487341E+017
651	1,4828	1,02006370913943E+017
652	1,4668	1,02487512992573E+017
653	1,4504	1,02964005214135E+017
654	1,4338	1,03435765271367E+017
655	1,4168	1,03902644648972E+017
656	1,3996	1,04364560234727E+017
657	1,3821	1,04821395560841E+017
658	1,3644	1,05273066810755E+017
659	1,3464	1,05719456711714E+017
660	1,3282	1,06160480742818E+017
661	1,3098	1,06596054081303E+017
662	1,2911	1,07026058297286E+017
663	1,2723	1,07450441219234E+017
664	1,2534	1,07869150524684E+017
665	1,2342	1,0828206682786E+017
666	1,2149	1,086891373032E+017
667	1,1955	1,09090308974208E+017
668	1,176	1,09485528713461E+017
669	1,1564	1,09874743242604E+017
670	1,1367	1,10257899132353E+017
671	1,117	1,10634976560543E+017
672	1,0972	1,11005921896649E+017
673	1,0774	1,11370715217888E+017
674	1,0575	1,11729302692494E+017
675	1,0377	1,12081698256354E+017
676	1,0179	1,12427881986684E+017
677	0,9981	1,127678339607E+017
678	0,9783	1,13101534255617E+017
679	0,9586	1,13428997109184E+017
680	0,939	1,13750236910077E+017
681	0,9195	1,14065268197904E+017
682	0,9001	1,14374105663202E+017
683	0,8808	1,14676764147441E+017
684	0,8616	1,14973258643017E+017
685	0,8425	1,15263604293259E+017
686	0,8236	1,15547850905128E+017
687	0,8049	1,15826048587444E+017
688	0,7864	1,16098247750889E+017
689	0,768	1,16364464444371E+017
690	0,7499	1,16624784295614E+017
691	0,7319	1,16879223856628E+017
692	0,7142	1,17127869459479E+017
693	0,6967	1,17370773024148E+017
694	0,6794	1,17607986772479E+017
695	0,6624	1,17839598193668E+017
696	0,6456	1,18065660213898E+017
697	0,6291	1,18286261127328E+017
698	0,6128	1,18501454564481E+017
699	0,5968	1,18711329624476E+017
700	0,5828	1,18916574548945E+017
701	0,5676	1,1911675204284E+017
702	0,5527	1,1931195276489E+017
703	0,5381	1,19502267826615E+017
704	0,5239	1,1968782421061E+017
705	0,51	1,19868714034595E+017
706	0,4965	1,20045065387986E+017
707	0,4833	1,20216971394706E+017
708	0,4705	1,2038456125099E+017
709	0,4581	1,20547964756796E+017
710	0,446	1,20707276595659E+017
711	0,4343	1,20862627674357E+017
712	0,423	1,21014149503389E+017
713	0,4122	1,21162010068049E+017
714	0,4017	1,21306306265514E+017
715	0,3917	1,21447207389139E+017
716	0,3821	1,21584847464926E+017
717	0,373	1,21719397194912E+017
718	0,3644	1,21851028035785E+017
719	0,3563	1,21979912198882E+017
720	0,3487	1,22106222650193E+017
721	0,3416	1,22230133110359E+017
722	0,3351	1,22351854378535E+017
723	0,3292	1,22471598159457E+017
724	0,3239	1,22589577063442E+017
725	0,3192	1,22706004606389E+017
726	0,3153	1,22821168259986E+017
727	0,312	1,22935283552534E+017
728	0,3095	1,23048640169364E+017
729	0,3078	1,23161529003247E+017
730	0,307	1,23274278880742E+017
731	0,307	1,23387183210124E+017
732	0,308	1,23500610261039E+017
733	0,31	1,23614929812434E+017
734	0,3131	1,23730550080144E+017
735	0,3173	1,23847880940235E+017
736	0,3227	1,23967370957209E+017
737	0,3294	1,24089507585248E+017
738	0,3375	1,24214817369448E+017
739	0,347	1,24343828967929E+017
740	0,3581	1,24477147610725E+017
741	0,3708	1,2461538094275E+017
742	0,3852	1,24759176353869E+017
743	0,4015	1,24909258560508E+017
744	0,4197	1,2506635514677E+017
745	0,4401	1,25231309007413E+017
746	0,4626	1,25404928826357E+017
747	0,4874	1,25588101620286E+017
748	0,5147	1,25781793141129E+017
749	0,5446	1,25987010596305E+017
750	0,5797	1,26205746163606E+017
751	0,6154	1,2643826185783E+017
752	0,6542	1,26685766428499E+017
753	0,6963	1,26949549070924E+017
754	0,7417	1,27230903961112E+017
755	0,7906	1,27531206223958E+017
756	0,8433	1,27851950370131E+017
757	0,8999	1,28194674730363E+017
758	0,9605	1,2856096165669E+017
759	1,0253	1,28952475909027E+017
760	1,0946	1,29371003293297E+017
761	1,1685	1,29818374693234E+017
762	1,2471	1,30296466271632E+017
763	1,3307	1,30807276444729E+017
764	1,4194	1,3135284961216E+017
765	1,5134	1,31935314845392E+017
766	1,6129	1,32556886290207E+017
767	1,718	1,3321982498136E+017
768	1,8289	1,33926477681954E+017
769	1,9458	1,34679277285913E+017
770	2,0688	1,35480704481721E+017
771	2,1981	1,36333326742715E+017
772	2,3338	1,37239759890203E+017
773	2,4759	1,38202629405023E+017
774	2,6459	1,3923294252478E+017
775	2,8051	1,40326659351584E+017
776	2,9454	1,41476561397895E+017
777	3,063	1,42673916195513E+017
778	3,1544	1,43908587072126E+017
779	3,2171	1,45169418023278E+017
780	3,2492	1,46444464132448E+017
781	3,2498	1,47721380669063E+017
782	3,2188	1,48987736017073E+017
783	3,1573	1,50231484187045E+017
784	3,0671	1,51441243131419E+017
785	2,9509	1,52606653807415E+017
786	2,812	1,53718622872765E+017
787	2,6542	1,5476952729673E+017
788	2,4818	1,55753420228871E+017
789	2,2991	1,56666039652378E+017
790	2,1106	1,57504896527298E+017
791	1,9818	1,58293558953832E+017
792	1,8136	1,5901619817938E+017
793	1,6595	1,59678270279734E+017
794	1,5186	1,60284893096152E+017
795	1,3901	1,60840884420685E+017
796	1,2732	1,61350760386261E+017
797	1,167	1,61818693759641E+017
798	1,0709	1,62248632572545E+017
799	0,9843	1,62644298914208E+017
800	0,9074	1,63009509708332E+017
801	0,8299	1,63343945787891E+017
802	0,7683	1,63653944610635E+017
803	0,7138	1,63942312522074E+017
804	0,6658	1,64211623888022E+017
805	0,6238	1,64464260386764E+017
806	0,5876	1,64702531652575E+017
807	0,5565	1,64928471872148E+017
808	0,5304	1,65144082279086E+017
809	0,5089	1,65351208850143E+017
810	0,4917	1,65551582251415E+017
811	0,4785	1,65746817234617E+017
812	0,469	1,65938412033362E+017
813	0,4632	1,6612787046568E+017
814	0,4606	1,66316497172071E+017
815	0,4613	1,66505642625501E+017
816	0,4649	1,66696498067591E+017
817	0,4715	1,66890300220257E+017
818	0,4808	1,67088166872435E+017
819	0,4928	1,67291219888171E+017
820	0,5073	1,67500502698129E+017
821	0,5244	1,67717103810786E+017
822	0,5439	1,67942032949065E+017
823	0,5659	1,68176344863393E+017
824	0,5902	1,68421015166471E+017
825	0,6169	1,68677064448194E+017
826	0,646	1,68945516920783E+017
827	0,6774	1,69227358812361E+017
828	0,7112	1,69523621479176E+017
829	0,7473	1,69835298192762E+017
830	0,786	1,70163510968096E+017
831	0,827	1,70509260321361E+017
