Wavelength,Transmission,Wavelength,Transmission,Wavelength,Transmission,Wavelength,Transmission,Wavelength,Transmission
nm,normalized,nm,normalized,nm,normalized,nm,normalized,nm,normalized
KG1,KG1,KG2,KG2,KG3,KG3,KG4,KG4,KG5,KG5
273.5849057,0.002469136,263.2075472,0.00617,291.50943,0.00741,288.6792453,0.003703704,295.2830189,0.003703704
273.5849057,0.002469136,263.2075472,0.00617,299.0566,0.04691,297.1698113,0.032098765,300.9433962,0.02345679
283.0188679,0.02345679,276.4150943,0.04691,303.77358,0.09506,301.8867925,0.072839506,306.6037736,0.056790123
283.0188679,0.02345679,276.4150943,0.04691,310.37736,0.1963,305.6603774,0.119753086,308.490566,0.079012346
291.509434,0.07654321,282.0754717,0.09753,315.09434,0.29877,310.3773585,0.180246914,312.2641509,0.137037037
291.509434,0.07654321,284.9056604,0.13333,320.75472,0.39877,314.1509434,0.266666667,316.9811321,0.198765432
299.0566038,0.17037037,284.9056604,0.13333,325.4717,0.5,316.0377358,0.298765432,322.6415094,0.298765432
299.0566038,0.17037037,286.7924528,0.16667,327.35849,0.53951,321.6981132,0.4,327.3584906,0.4
296.2264151,0.12345679,286.7924528,0.16667,332.07547,0.61728,325.4716981,0.497530864,333.0188679,0.498765432
296.2264151,0.12345679,288.6792453,0.20494,338.67925,0.68272,330.1886792,0.596296296,339.6226415,0.597530864
302.8301887,0.224691358,288.6792453,0.20494,343.39623,0.7321,336.7924528,0.7,348.1132075,0.7
302.8301887,0.224691358,293.3962264,0.26543,349.0566,0.77901,343.3962264,0.767901235,361.3207547,0.798765432
304.7169811,0.285185185,296.2264151,0.3284,356.60377,0.82099,346.2264151,0.803703704,380.1886792,0.835802469
304.7169811,0.285185185,296.2264151,0.3284,363.20755,0.84568,354.7169811,0.843209877,391.509434,0.82345679
308.490566,0.340740741,299.0566038,0.37284,369.81132,0.85679,363.2075472,0.871604938,402.8301887,0.802469136
312.2641509,0.4,299.0566038,0.37284,380.18868,0.86296,384.9056604,0.895061728,414.1509434,0.788888889
314.1509434,0.466666667,301.8867925,0.42716,390.56604,0.85679,406.6037736,0.891358025,425.4716981,0.780246914
318.8679245,0.545679012,301.8867925,0.42716,397.16981,0.84321,423.5849057,0.886419753,439.6226415,0.790123457
322.6415094,0.60617284,304.7169811,0.48025,414.15094,0.82593,445.2830189,0.886419753,451.8867925,0.79382716
326.4150943,0.660493827,308.490566,0.54444,424.5283,0.81728,465.0943396,0.886419753,467.9245283,0.798765432
332.0754717,0.722222222,308.490566,0.54444,435.84906,0.82222,489.6226415,0.891358025,480.1886792,0.807407407
