wavelength	EQE
nm	%
350	37.8384
352	38.9787
354	39.9551
356	40.7581
358	41.3974
360	41.9056
362	42.2667
364	42.5068
366	42.6964
368	42.947
370	43.3383
372	43.9857
374	44.5361
376	45.1234
378	45.6341
380	46.0979
382	46.5302
384	46.7588
386	47.3169
388	47.4631
390	47.6823
392	47.7268
394	47.8022
396	47.7951
398	47.6127
400	47.8394
402	47.8531
404	48.0703
406	48.3355
408	48.4395
410	48.5914
412	48.7678
414	48.9891
416	49.101
418	49.168
420	49.0073
422	49.4058
424	49.9036
426	50.1305
428	50.5748
430	51.019
432	51.4557
434	51.8208
436	52.4029
438	52.7196
440	53.2139
442	53.5128
444	53.8983
446	54.4558
448	54.5197
450	54.9388
452	55.377
454	55.2592
456	55.1366
458	54.993
460	55.3406
462	55.6619
464	56.0325
466	56.3331
468	56.4408
470	57.4599
472	57.4024
474	57.6202
476	58.1212
478	58.2318
480	58.6548
482	58.766
484	59.1898
486	59.4255
488	59.7317
490	59.8723
492	60.2589
494	61.0729
496	60.5055
498	60.5277
500	60.5886
502	60.6847
504	60.7582
506	60.9272
508	61.0309
510	60.9481
512	61.0929
514	60.8788
516	60.9599
518	60.8576
520	61.0016
522	60.9505
524	61.0041
526	60.8523
528	60.9459
530	60.8606
532	61.1365
534	61.1207
536	61.3021
538	61.5277
540	61.7813
542	62.0921
544	62.3894
546	62.5711
548	62.9254
550	63.0824
552	63.2156
554	63.453
556	63.6577
558	63.6118
560	63.5865
562	63.7052
564	63.7809
566	63.7709
568	63.8875
570	63.6839
572	63.4584
574	63.596
576	63.4843
578	63.398
580	63.3817
582	63.2148
584	63.0197
586	62.7951
588	62.5882
590	62.2119
592	62.1372
594	61.8692
596	61.5551
598	61.3464
600	60.8103
602	60.5944
604	60.2567
606	59.966
608	59.4471
610	59.0161
612	58.534
614	58.0528
616	57.707
618	57.2186
620	56.6491
622	56.1583
624	55.4893
626	54.9858
628	54.2793
630	53.8311
632	53.2015
634	52.5476
636	51.9462
638	51.1727
640	50.5774
642	49.8581
644	49.2579
646	48.3964
648	47.6479
650	47.0838
652	46.4142
654	45.5206
656	44.7204
658	43.9165
660	43.1842
662	42.3974
664	41.6217
666	40.7836
668	40.0299
670	39.3404
672	38.4251
674	37.6637
676	36.8337
678	35.985
680	35.185
682	34.3684
684	33.4435
686	32.7604
688	31.8751
690	31.0805
692	30.2272
694	29.4262
696	28.6822
698	27.8289
700	27.0021
702	26.2309
704	25.4657
706	24.6775
708	23.8741
710	23.1207
712	22.3474
714	21.5992
716	20.9515
718	20.2195
720	19.6567
722	18.9606
724	18.3443
726	17.6299
728	16.956
730	16.3202
732	15.7118
734	15.099
736	14.6245
738	14.0827
740	13.4268
742	12.8973
744	12.4312
746	11.8851
748	11.5624
750	11.0575
752	10.5476
754	10.1459
756	9.72969
758	9.32853
760	8.9113
762	8.4517
764	7.96572
766	7.58156
768	7.35169
770	7.10653
772	6.85255
774	6.57438
776	6.33688
778	6.04702
780	5.83705
782	5.52336
784	5.23563
786	5.07421
788	4.84161
790	4.27111
792	4.28782
794	4.30539
796	4.12737
798	3.64562
800	3.53679
802	3.50073
804	3.43952
806	3.30998
808	3.05572
810	2.93423
812	2.87812
814	2.85095
816	2.80851
818	2.5834
820	2.3146
822	1.71532
824	1.21721
826	1.3012
828	1.20236
830	1.20668
832	1.71261
834	1.55325
836	1.01632
838	1.65216
840	2.16943
842	1.11672
844	2.13767
846	2.74882
848	3.0298
850	3.15856
852	3.19375
854	3.08516
856	3.02659
858	2.92841
860	2.71681
862	2.80673
864	2.68214
866	2.18467
868	2.08548
870	2.02971
872	1.81285
874	1.57178
876	1.4275
878	1.3831
880	0.99058
882	0.23538
884	0.20338
886	0.45301
888	0.71728
890	0.9704
892	0.95516
894	0.70665
896	0.24487
898	0.51752
900	0.78243
902	1.19934
904	0.78049
906	0.1964
908	0.77732
910	1.2841
912	1.33772
914	0.94898
916	0.23297
918	0.16364
920	0.44086
922	0.64824
924	0.91206
926	1.34108
928	1.58991
930	1.50803
932	1.16865
934	1.33103
936	1.70006
938	0.77456
940	0.50923
942	0.59459
944	0.68128
946	0.57345
948	0.78988
950	0.5461
