Wavelength (nm)	Spectral irradiance (W m-2 nm-1)	Cumulative photon flux (cm-2 s-1)
349	0	0
350	0,002465475	434133690937,246
351	0,00493095	1304881836759,95
352	0,007396425	2614725201416,33
353	0,0098619	4366144548854,59
354	0,012327375	6561620643022,95
355	0,01479285	9203634247869,62
356	0,017258326	12294666306446,6
357	0,0197238	15837197224494,6
358	0,022189274	21831963035185,9
360	0,02465475	32995400802143,6
363	0,04305611	48721689851555,1
364	0,08611222	64491302011295,6
365	0,14352037	90846194740183,8
366	0,21528056	150307166428700
368	0,31574482	237993145437330
369	0,38750502	309931175707888
370	0,4592652	395422118387623
371	0,52384937	493198774051479
372	0,5740815	600640093905741
373	0,64584166	721836496927565
374	0,7176019	856860203330124
375	0,767834	1001721860724650
376	0,94723445	1270498445717960
378	1,0046426	1557080830052610
379	1,0907549	1869050579946210
381	1,155339	2201235957679180
382	1,2127472	2900449355449640
387	1,2342752	3741545912732170
389	1,2558032	4478851091750460
393	1,2701553	5608950719783020
398	1,3203875	6534303563106430
400	1,3634436	6945873146448560
401	1,4136757	7516272473199330
404	1,4208517	8382648076240870
407	1,3849716	9,09162178269374E+015
409	1,3634436	1,02138348466066E+016
415	1,3921477	1,13764828371725E+016
417	1,4280277	1,22752532857974E+016
421	1,3921477	1,33072784750135E+016
424	1,4208517	1,48227209489806E+016
431	1,3993237	1,63398422543355E+016
434	1,4064996	1,74147030677284E+016
438	1,4136757	1,88165198670124E+016
443	1,4423797	1,99416589616778E+016
445	1,4782598	2,1430945056631E+016
452	1,5213159	2,29877177168359E+016
454	1,6002522	2,39014924339172E+016
457	1,6504843	2,50399155230657E+016
460	1,6146042	2,65345628988426E+016
465	1,7114805	2,77357232991396E+016
466	1,8011807	2,83691396990623E+016
468	1,8657649	2,92477324393205E+016
470	1,915997	2,99273096159602E+016
471	1,9518771	3,08523447214151E+016
474	2,1815097	3,24130165385239E+016
477	1,9638371	3,35912156505262E+016
479	1,8298848	3,42526783596022E+016
480	1,7078924	3,48713323883816E+016
482	1,6289562	3,58588646602733E+016
485	1,7007164	3,71038084297244E+016
488	1,8011807	3,84304487866441E+016
491	1,6827763	3,96774991026919E+016
494	1,6146042	4,10819802509084E+016
498	1,7150685	4,25859312989675E+016
501	1,6648363	4,34251866157851E+016
502	1,557196	4,4015106586565E+016
504	1,5500201	4,55872157561773E+016
510	1,4854358	4,78740261425888E+016
516	1,4710839	5,05472789228737E+016
524	1,4854358	5,3875858485317E+016
533	1,4926119	5,76782125713744E+016
543	1,4854358	6,11274849042117E+016
550	1,4926119	6,36055669589148E+016
555	1,4854358	6,58867724179086E+016
561	1,4710839	6,8793157708102E+016
569	1,4423797	7,20963716125954E+016
577	1,4495558	7,56730881270239E+016
586	1,4495558	7,93055939804988E+016
594	1,4567318	8,21352539145725E+016
599	1,4208517	8,40620818337132E+016
603	1,3921477	8,53290879872877E+016
605	1,3562676	8,69803485018388E+016
611	1,3490915	8,94685681188384E+016
617	1,3562676	9,11525809080584E+016
619	1,3849716	9,22308480439167E+016
622	1,3993237	9,39824015509807E+016
627	1,4208517	9,53269993309486E+016
628	1,3849716	9,66397329554766E+016
633	1,3490915	9,83582741639444E+016
636	1,3347394	9,94259722100023E+016
638	1,2988594	1,0046823605357E+017
641	1,2809193	1,01707477404969E+017
644	1,2486273	1,02921131124643E+017
647	1,2199231	1,0450950073797E+017
652	1,2486273	1,06352595983066E+017
656	1,2988594	1,07852933152239E+017
659	1,2199231	1,08864076482207E+017
661	1,1912191	1,10250564099316E+017
666	1,1768671	1,11827872025264E+017
669	1,1983951	1,13844617029475E+017
676	1,2127472	1,16731770431089E+017
683	1,1912191	1,18778390362979E+017
686	1,2414513	1,19635307132832E+017
687	1,2988594	1,20308694525181E+017
689	1,3490915	1,21477804806218E+017
692	1,3921477	1,23416485310968E+017
697	1,3203875	1,24805511007587E+017
698	1,2773314	1,25478340644539E+017
700	1,173279	1,26511326058646E+017
703	1,0979309	1,27676273765413E+017
706	1,0548748	1,28800313636338E+017
709	1,0118186	1,29883055656508E+017
712	1,0979309	1,30866273730498E+017
714	1,184043	1,31504260670509E+017
715	1,2845074	1,32890437867072E+017
720	1,1983951	1,34409779394908E+017
722	1,1051068	1,35614031867295E+017
726	1,0405227	1,37514291870193E+017
732	1,144575	1,39200340789684E+017
734	1,1983951	1,40306686703803E+017
737	1,2629793	1,42179862574896E+017
742	1,1912191	1,43958594041324E+017
745	1,1912191	1,44851555592866E+017
746	1,1409869	1,45493896510491E+017
748	1,0548748	1,46089351059678E+017
749	1,1122829	1,46718050654355E+017
751	1,0046426	1,48236381311394E+017
757	1,0261707	1,50385859399577E+017
762	1,0046426	1,51541286790386E+017
763	1,0835788	1,52165209997411E+017
765	1,2629793	1,53866508638813E+017
770	1,6576604	1,56435136105893E+017
773	1,3490915	1,57484450761616E+017
774	1,0189947	1,58079645369333E+017
776	0,9257064	1,58621747469376E+017
777	0,6530177	1,59642829906234E+017
784	0,59560955	1,61169854089677E+017
790	0,58843356	1,62222280848692E+017
793	0,7176019	1,63510601961787E+017
799	0,60996157	1,64859151129994E+017
804	0,64584166	1,65904104567308E+017
807	0,55972946	1,66926735810656E+017
