led-kg5
Integration time [ms]:   0,255
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1403062U1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 176,36;   13,520;   -1,990;   -4,940;15,51000
 176,71;    7,700;    2,510;    1,200; 5,19000
 177,05;   11,720;   -6,620;    1,620;18,34000
 177,40;    6,660;   -1,320;    1,160; 7,98000
 177,74;   11,350;    1,740;    1,630; 9,61000
 178,09;   10,360;    2,820;    0,700; 7,54000
 178,43;   10,430;    4,170;   -2,880; 6,26000
 178,78;   10,440;   -2,840;    7,430;13,28000
 179,12;    7,250;    1,090;    2,350; 6,16000
 179,47;    7,130;    5,450;   -1,290; 1,68000
 179,81;    9,920;    0,850;    7,770; 9,07000
 180,16;    9,160;    0,250;   -2,990; 8,91000
 180,50;   12,780;   -0,980;   -1,580;13,76000
 180,85;   17,320;    7,020;   -0,790;10,30000
 181,19;    9,180;    1,680;   -3,310; 7,50000
 181,54;   10,800;   -3,060;   -0,550;13,86000
 181,88;   11,090;    7,780;   -6,480; 3,31000
 182,23;   12,720;   -4,800;   -3,500;17,52000
 182,57;    9,140;    0,930;    0,010; 8,21000
 182,92;   12,140;    4,510;    1,600; 7,63000
 183,26;   13,180;    4,200;    6,460; 8,98000
 183,61;   13,110;    5,830;    5,600; 7,28000
 183,95;   10,060;    7,070;    0,620; 2,99000
 184,30;   12,760;    3,610;    2,620; 9,15000
 184,64;   13,650;   -4,800;    0,860;18,45000
 184,99;   11,200;    1,950;    1,700; 9,25000
 185,33;   12,530;    4,290;    1,640; 8,24000
 185,68;   10,000;    1,740;   -2,140; 8,26000
 186,02;   11,530;   -3,790;    8,470;15,32000
 186,37;    9,870;   -3,660;   -0,240;13,53000
 186,71;   16,430;   -3,210;   -2,180;19,64000
 187,06;   16,700;    3,320;    3,950;13,38000
 187,40;   13,040;    5,190;    3,110; 7,85000
 187,75;   12,750;    0,600;    6,000;12,15000
 188,09;   11,550;    4,390;    2,940; 7,16000
 188,44;   16,840;    2,610;    6,360;14,23000
 188,78;   11,300;    3,390;   -2,530; 7,91000
 189,13;   15,180;   -1,080;    0,290;16,26000
