led-unfiltered
Integration time [ms]:   0,255
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1403062U1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 176,36;    6,850;   -1,990;   -4,940; 8,84000
 176,71;   10,270;    2,510;    1,200; 7,76000
 177,05;   16,680;   -6,620;    1,620;23,30000
 177,40;   15,600;   -1,320;    1,160;16,92000
 177,74;    8,800;    1,740;    1,630; 7,06000
 178,09;   23,270;    2,820;    0,700;20,45000
 178,43;   10,900;    4,170;   -2,880; 6,73000
 178,78;    9,060;   -2,840;    7,430;11,90000
 179,12;   18,060;    1,090;    2,350;16,97000
 179,47;   13,110;    5,450;   -1,290; 7,66000
 179,81;   14,560;    0,850;    7,770;13,71000
 180,16;    8,980;    0,250;   -2,990; 8,73000
 180,50;   13,740;   -0,980;   -1,580;14,72000
 180,85;   10,580;    7,020;   -0,790; 3,56000
 181,19;   11,620;    1,680;   -3,310; 9,94000
 181,54;   14,680;   -3,060;   -0,550;17,74000
 181,88;   17,370;    7,780;   -6,480; 9,59000
 182,23;   15,500;   -4,800;   -3,500;20,30000
 182,57;   16,750;    0,930;    0,010;15,82000
 182,92;   17,470;    4,510;    1,600;12,96000
 183,26;   26,430;    4,200;    6,460;22,23000
 183,61;   17,130;    5,830;    5,600;11,30000
 183,95;   19,070;    7,070;    0,620;12,00000
 184,30;   16,400;    3,610;    2,620;12,79000
 184,64;   23,760;   -4,800;    0,860;28,56000
 184,99;   17,270;    1,950;    1,700;15,32000
 185,33;   20,420;    4,290;    1,640;16,13000
 185,68;   14,830;    1,740;   -2,140;13,09000
 186,02;   16,750;   -3,790;    8,470;20,54000
 186,37;   10,780;   -3,660;   -0,240;14,44000
 186,71;   15,540;   -3,210;   -2,180;18,75000
 187,06;    9,470;    3,320;    3,950; 6,15000
 187,40;   14,810;    5,190;    3,110; 9,62000
 187,75;   25,960;    0,600;    6,000;25,36000
 188,09;   14,180;    4,390;    2,940; 9,79000
 188,44;   20,840;    2,610;    6,360;18,23000
 188,78;   23,910;    3,390;   -2,530;20,52000
 189,13;   12,620;   -1,080;    0,290;13,70000
 189,47;   16,820;   -3,040;    2,160;19,86000
