xe-kg5
Integration time [ms]:   1,571
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1403062U1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 176,36;   15,750;   -1,680;   -4,940;17,43000
 176,71;   15,050;    0,970;    1,200;14,08000
 177,05;   10,630;    1,880;    1,620; 8,75000
 177,40;   16,600;    1,540;    1,160;15,06000
 177,74;    4,920;   -1,260;    1,630; 6,18000
 178,09;   12,800;    1,980;    0,700;10,82000
 178,43;   13,770;   -0,420;   -2,880;14,19000
 178,78;   12,660;    0,770;    7,430;11,89000
 179,12;   11,970;    4,190;    2,350; 7,78000
 179,47;   15,730;    0,330;   -1,290;15,40000
 179,81;    8,990;    5,060;    7,770; 3,93000
 180,16;   18,650;    5,230;   -2,990;13,42000
 180,50;    8,780;    4,680;   -1,580; 4,10000
 180,85;    9,170;   -1,360;   -0,790;10,53000
 181,19;   13,680;    2,540;   -3,310;11,14000
 181,54;   13,580;    2,570;   -0,550;11,01000
 181,88;   15,840;    4,730;   -6,480;11,11000
 182,23;   12,660;    3,980;   -3,500; 8,68000
 182,57;    7,750;   -6,510;    0,010;14,26000
 182,92;   15,220;   -1,850;    1,600;17,07000
 183,26;   12,510;   -1,710;    6,460;14,22000
 183,61;   15,340;   -2,030;    5,600;17,37000
 183,95;    5,230;   -3,570;    0,620; 8,80000
 184,30;   19,040;   -2,540;    2,620;21,58000
 184,64;   14,580;   -2,830;    0,860;17,41000
 184,99;   15,920;   -0,890;    1,700;16,81000
 185,33;    6,380;   -0,150;    1,640; 6,53000
 185,68;   12,380;    7,170;   -2,140; 5,21000
 186,02;   20,800;   -6,680;    8,470;27,48000
 186,37;   15,870;   -0,160;   -0,240;16,03000
 186,71;    7,400;    0,470;   -2,180; 6,93000
 187,06;   22,110;    2,400;    3,950;19,71000
 187,40;    9,260;   -1,030;    3,110;10,29000
 187,75;   18,130;    1,610;    6,000;16,52000
 188,09;   10,880;   -0,430;    2,940;11,31000
 188,44;   18,910;    0,610;    6,360;18,30000
 188,78;    5,800;    4,770;   -2,530; 1,03000
 189,13;   17,810;    3,820;    0,290;13,99000
 189,47;   11,180;   -3,790;    2,160;14,97000
