xe-unfiltered
Integration time [ms]:   1,571
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1403062U1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 176,36;   30,750;   -1,680;   -4,940;32,43000
 176,71;   25,020;    0,970;    1,200;24,05000
 177,05;   25,030;    1,880;    1,620;23,15000
 177,40;   28,720;    1,540;    1,160;27,18000
 177,74;   21,710;   -1,260;    1,630;22,97000
 178,09;   30,080;    1,980;    0,700;28,10000
 178,43;   25,280;   -0,420;   -2,880;25,70000
 178,78;   28,170;    0,770;    7,430;27,40000
 179,12;   28,580;    4,190;    2,350;24,39000
 179,47;   31,590;    0,330;   -1,290;31,26000
 179,81;   28,970;    5,060;    7,770;23,91000
 180,16;   26,190;    5,230;   -2,990;20,96000
 180,50;   28,440;    4,680;   -1,580;23,76000
 180,85;   28,700;   -1,360;   -0,790;30,06000
 181,19;   24,990;    2,540;   -3,310;22,45000
 181,54;   30,330;    2,570;   -0,550;27,76000
 181,88;   25,380;    4,730;   -6,480;20,65000
 182,23;   30,750;    3,980;   -3,500;26,77000
 182,57;   22,930;   -6,510;    0,010;29,44000
 182,92;   23,500;   -1,850;    1,600;25,35000
 183,26;   24,160;   -1,710;    6,460;25,87000
 183,61;   29,770;   -2,030;    5,600;31,80000
 183,95;   22,920;   -3,570;    0,620;26,49000
 184,30;   26,060;   -2,540;    2,620;28,60000
 184,64;   26,450;   -2,830;    0,860;29,28000
 184,99;   30,010;   -0,890;    1,700;30,90000
 185,33;   24,430;   -0,150;    1,640;24,58000
 185,68;   24,190;    7,170;   -2,140;17,02000
 186,02;   27,820;   -6,680;    8,470;34,50000
 186,37;   30,080;   -0,160;   -0,240;30,24000
 186,71;   25,460;    0,470;   -2,180;24,99000
 187,06;   28,910;    2,400;    3,950;26,51000
 187,40;   26,720;   -1,030;    3,110;27,75000
 187,75;   26,710;    1,610;    6,000;25,10000
 188,09;   26,150;   -0,430;    2,940;26,58000
 188,44;   21,090;    0,610;    6,360;20,48000
 188,78;   34,420;    4,770;   -2,530;29,65000
 189,13;   27,870;    3,820;    0,290;24,05000
 189,47;   26,620;   -3,790;    2,160;30,41000
